href,url,property
https://coppermind.net/wiki/Raagent,https://coppermind.net/wiki/Aarik,Parents
https://coppermind.net/wiki/Taishin,https://coppermind.net/wiki/Aarik,Groups
https://coppermind.net/wiki/Tower_(Taldain),https://coppermind.net/wiki/Aarik,Groups
https://coppermind.net/wiki/Kezare,https://coppermind.net/wiki/Aarik,Residence
https://coppermind.net/wiki/Daysider,https://coppermind.net/wiki/Aarik,Ethnicity
https://coppermind.net/wiki/Lossandin,https://coppermind.net/wiki/Aarik,Nationality
https://coppermind.net/wiki/Taldain,https://coppermind.net/wiki/Aarik,World
https://coppermind.net/wiki/Cosmere,https://coppermind.net/wiki/Aarik,Universe
https://coppermind.net/wiki/Singer,https://coppermind.net/wiki/Abaray,Species
https://coppermind.net/wiki/Roshar,https://coppermind.net/wiki/Abaray,World
https://coppermind.net/wiki/Cosmere,https://coppermind.net/wiki/Abaray,Universe
https://coppermind.net/wiki/Singer,https://coppermind.net/wiki/Abiajan,Species
https://coppermind.net/wiki/Hearthstone,https://coppermind.net/wiki/Abiajan,Residence
https://coppermind.net/wiki/Roshar,https://coppermind.net/wiki/Abiajan,World
https://coppermind.net/wiki/Cosmere,https://coppermind.net/wiki/Abiajan,Universe
https://coppermind.net/wiki/Scadrial,https://coppermind.net/wiki/Abrem,World
https://coppermind.net/wiki/Cosmere,https://coppermind.net/wiki/Abrem,Universe
https://coppermind.net/wiki/Veden,https://coppermind.net/wiki/Abrial,Nationality
https://coppermind.net/wiki/Roshar,https://coppermind.net/wiki/Abrial,World
https://coppermind.net/wiki/Cosmere,https://coppermind.net/wiki/Abrial,Universe
https://coppermind.net/wiki/Roshar,https://coppermind.net/wiki/Abrobadar,World
https://coppermind.net/wiki/Cosmere,https://coppermind.net/wiki/Abrobadar,Universe
https://coppermind.net/wiki/Council_of_Five,https://coppermind.net/wiki/Abronai,Groups
https://coppermind.net/wiki/Singer,https://coppermind.net/wiki/Abronai,Species
https://coppermind.net/wiki/Listener,https://coppermind.net/wiki/Abronai,Nationality
https://coppermind.net/wiki/Roshar,https://coppermind.net/wiki/Abronai,World
https://coppermind.net/wiki/Cosmere,https://coppermind.net/wiki/Abronai,Universe
https://coppermind.net/wiki/Hearthstone,https://coppermind.net/wiki/Abry,Residence
https://coppermind.net/wiki/Alethi,https://coppermind.net/wiki/Abry,Nationality
https://coppermind.net/wiki/Roshar,https://coppermind.net/wiki/Abry,World
https://coppermind.net/wiki/Cosmere,https://coppermind.net/wiki/Abry,Universe
https://coppermind.net/wiki/Kaladin%27s_squad,https://coppermind.net/wiki/Acis,Groups
https://coppermind.net/wiki/Alethi,https://coppermind.net/wiki/Acis,Nationality
https://coppermind.net/wiki/Roshar,https://coppermind.net/wiki/Acis,World
https://coppermind.net/wiki/Cosmere,https://coppermind.net/wiki/Acis,Universe
https://coppermind.net/wiki/Elendel,https://coppermind.net/wiki/Adawathwyn,Residence
https://coppermind.net/wiki/Terris,https://coppermind.net/wiki/Adawathwyn,Ethnicity
https://coppermind.net/wiki/Scadrial,https://coppermind.net/wiki/Adawathwyn,World
https://coppermind.net/wiki/Cosmere,https://coppermind.net/wiki/Adawathwyn,Universe
