url,property,name
https://coppermind.net/wiki/Raagent,Character;Parents,Raagent
https://coppermind.net/wiki/Taishin,Groups;Owner,Taishin
https://coppermind.net/wiki/Tower_(Taldain),Groups;Location,Tower (Taldain)
https://coppermind.net/wiki/Kezare,Capital;City;Location;Residence,Kezare
https://coppermind.net/wiki/Daysider,Ethnicity;Nationality,Daysider
https://coppermind.net/wiki/Lossandin,Nationality,Lossandin
https://coppermind.net/wiki/Taldain,Location;World,Taldain
https://coppermind.net/wiki/Cosmere,Universe,Cosmere
https://coppermind.net/wiki/Singer,Occupied_by;Species,Singer
https://coppermind.net/wiki/Roshar,Location;Use;World,Roshar
https://coppermind.net/wiki/Hearthstone,Birthplace;Location;Residence,Hearthstone
https://coppermind.net/wiki/Scadrial,Location;World,Scadrial
https://coppermind.net/wiki/Veden,Ethnicity;Nationality,Veden
https://coppermind.net/wiki/Council_of_Five,Groups;Ruled_by,Council of Five
https://coppermind.net/wiki/Listener,Nationality,Listener
https://coppermind.net/wiki/Alethi,City;Descendants;Ethnicity;Nationality;Occupied_by,Alethi
https://coppermind.net/wiki/Kaladin%27s_squad,Groups,Kaladin's squad
https://coppermind.net/wiki/Elendel,Birthplace;Capital;City;Location;Profession;Residence,Elendel
https://coppermind.net/wiki/Terris,Ethnicity;Location;Nationality;Region,Terris
https://coppermind.net/wiki/Kiin,Character;Parents;Relatives;Siblings;Spouse,Kiin
https://coppermind.net/wiki/Daora,Character;Parents;Spouse,Daora
https://coppermind.net/wiki/Lukel,Character;Children;Siblings;Spouse,Lukel
https://coppermind.net/wiki/Kaise,Bonded_With;Character;Children;Relatives;Siblings,Kaise
https://coppermind.net/wiki/Daorn,Character;Children;Relatives;Siblings,Daorn
https://coppermind.net/wiki/Kae,Capital;Location;Residence,Kae
https://coppermind.net/wiki/Aonic,Ethnicity;Location,Aonic
https://coppermind.net/wiki/Arelene,Nationality,Arelene
https://coppermind.net/wiki/Sel,Birthplace;Location;World,Sel
https://coppermind.net/wiki/Alalan,Character;Parents,Alalan
https://coppermind.net/wiki/Urithiru,City;Location;Residence,Urithiru
https://coppermind.net/wiki/Bridge_Four,Groups,Bridge Four
https://coppermind.net/wiki/Shallan,Bonded_With;Children;Siblings;Spouse,Shallan
https://coppermind.net/wiki/Dalinar,Ancestors;Bonded_With;Children;Parents;Relatives;Siblings;Spouse,Dalinar
https://coppermind.net/wiki/Evi,Parents;Spouse,Evi
https://coppermind.net/wiki/Renarin,Bonded_With;Children;Descendants;Relatives;Siblings,Renarin
https://coppermind.net/wiki/Gavilar_Kholin,Character;Parents;Relatives,Gavilar Kholin
